Symbol,Date,Time,Bid Price,Bid Exchange,Bid Size,Ask Price,Ask Exchange,Ask Size
NTLS,03/03/2014,09:30:00.198,13.82,T,1,13.94,T,2
NTLS,03/03/2014,09:30:00.198,13.82,T,2,13.94,T,2
NTLS,03/03/2014,09:30:03.456,13.82,T,1,13.94,T,2
NTLS,03/03/2014,09:30:03.845,13.9,K,2,13.94,T,2
NTLS,03/03/2014,09:30:12.313,13.9,K,2,13.93,T,1
NTLS,03/03/2014,09:30:12.313,13.9,K,1,13.93,T,1
NTLS,03/03/2014,09:30:12.313,13.88,Z,1,13.93,T,1
NTLS,03/03/2014,09:30:13.983,13.88,Z,1,13.94,T,2
NTLS,03/03/2014,09:30:18.012,13.88,Z,1,13.94,T,3
NTLS,03/03/2014,09:30:19.719,13.87,T,2,13.94,T,3
NTLS,03/03/2014,09:30:19.722,13.87,T,1,13.94,T,3
NTLS,03/03/2014,09:30:19.722,13.85,T,3,13.94,T,3
NTLS,03/03/2014,09:30:19.722,13.85,T,2,13.94,T,3
NTLS,03/03/2014,09:30:25.638,13.85,T,1,13.94,T,3
NTLS,03/03/2014,09:30:26.331,13.85,T,1,13.94,T,2
NTLS,03/03/2014,09:30:28.629,13.85,B,1,13.94,T,2
NTLS,03/03/2014,09:30:30.224,13.85,B,1,13.94,T,3
NTLS,03/03/2014,09:30:30.229,13.84,T,2,13.94,T,3
NTLS,03/03/2014,09:30:30.267,13.84,T,2,13.93,T,1
NTLS,03/03/2014,09:30:32.341,13.84,T,2,13.93,T,2
NTLS,03/03/2014,09:30:33.487,13.84,T,1,13.93,T,2
NTLS,03/03/2014,09:30:59.309,13.84,T,1,13.92,T,1
NTLS,03/03/2014,09:30:59.310,13.84,T,1,13.92,T,2
NTLS,03/03/2014,09:30:59.397,13.84,T,1,13.92,T,3
NTLS,03/03/2014,09:31:00.155,13.84,T,1,13.92,T,2
NTLS,03/03/2014,09:31:01.131,13.84,T,1,13.92,T,1
NTLS,03/03/2014,09:31:01.131,13.84,T,1,13.92,B,1
NTLS,03/03/2014,09:31:01.131,13.84,T,1,13.92,X,1
NTLS,03/03/2014,09:31:01.133,13.82,T,1,13.92,X,1
NTLS,03/03/2014,09:31:01.199,13.82,T,1,13.84,Z,1
NTLS,03/03/2014,09:31:01.200,13.82,T,1,13.92,X,1
NTLS,03/03/2014,09:31:01.206,13.82,T,1,13.91,T,1
